epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,898.384,2.47081,2.50276,2.03951,0.03138,0.17647,0.01779,0.00413,2.99819,4.50856,2.63959,0.0017327,0.0017327,0.0017327
29,930.882,2.43515,2.49938,2.02674,0.03138,0.17647,0.01779,0.00413,2.99819,4.50856,2.63959,0.0017228,0.0017228,0.0017228
30,964.334,2.3662,2.45869,1.95412,0.10838,0.07843,0.0238,0.00556,3.08755,4.77802,2.96631,0.0017129,0.0017129,0.0017129
31,997.942,2.45696,2.43329,1.95807,0.13968,0.09804,0.05045,0.01486,2.71658,3.79437,2.48197,0.001703,0.001703,0.001703
32,1030.61,2.33265,2.35866,1.88591,0.13968,0.09804,0.05045,0.01486,2.71658,3.79437,2.48197,0.0016931,0.0016931,0.0016931
33,1063.62,2.40327,2.39006,1.92949,0.12923,0.11765,0.06826,0.01844,2.78256,3.4518,2.35427,0.0016832,0.0016832,0.0016832
34,1096.39,2.386,2.45137,1.96543,0.12923,0.11765,0.06826,0.01844,2.78256,3.4518,2.35427,0.0016733,0.0016733,0.0016733
35,1129.68,2.38878,2.48388,1.92813,0.06803,0.09804,0.03991,0.01026,2.81484,3.59526,2.35591,0.0016634,0.0016634,0.0016634
36,1163.44,2.35149,2.402,1.91996,0.05573,0.09804,0.03432,0.00998,2.93474,3.50852,2.47022,0.0016535,0.0016535,0.0016535
37,1196.06,2.28184,2.43971,1.87318,0.05573,0.09804,0.03432,0.00998,2.93474,3.50852,2.47022,0.0016436,0.0016436,0.0016436
38,1229.14,2.19322,2.36219,1.82588,0.24353,0.19608,0.09981,0.02516,2.76211,3.05449,2.43024,0.0016337,0.0016337,0.0016337
39,1261.62,2.20475,2.26801,1.82638,0.18369,0.23529,0.09953,0.02553,2.74496,2.9173,2.32397,0.0016238,0.0016238,0.0016238
40,1295.04,2.28669,2.34501,1.86953,0.18369,0.23529,0.09953,0.02553,2.74496,2.9173,2.32397,0.0016139,0.0016139,0.0016139
41,1329.11,2.32042,2.46949,1.85157,0.12245,0.19608,0.09095,0.0232,2.84183,3.0499,2.35309,0.001604,0.001604,0.001604
42,1362.51,2.31037,2.3856,1.87628,0.12245,0.19608,0.09095,0.0232,2.84183,3.0499,2.35309,0.0015941,0.0015941,0.0015941
43,1395.08,2.30618,2.27338,1.88559,0.15288,0.15686,0.1021,0.0242,2.91581,2.98022,2.42222,0.0015842,0.0015842,0.0015842
44,1428.37,2.35208,2.52743,1.94504,0.22647,0.23529,0.10935,0.02902,2.67554,2.90862,2.28735,0.0015743,0.0015743,0.0015743
45,1460.74,2.29652,2.30381,1.89691,0.22647,0.23529,0.10935,0.02902,2.67554,2.90862,2.28735,0.0015644,0.0015644,0.0015644
46,1494.84,2.30074,2.31552,1.85804,0.13515,0.2549,0.09215,0.02716,2.6453,2.90803,2.25145,0.0015545,0.0015545,0.0015545
47,1528.04,2.27164,2.35027,1.9126,0.15006,0.23529,0.08994,0.01918,2.78566,3.20604,2.34881,0.0015446,0.0015446,0.0015446
48,1560.56,2.29639,2.27931,1.83291,0.15006,0.23529,0.08994,0.01918,2.78566,3.20604,2.34881,0.0015347,0.0015347,0.0015347
49,1589.82,2.24631,2.22961,1.83378,0.17789,0.19608,0.12246,0.0316,2.77249,3.14039,2.42719,0.0015248,0.0015248,0.0015248
50,1620.8,2.2887,2.36938,1.87869,0.17789,0.19608,0.12246,0.0316,2.77249,3.14039,2.42719,0.0015149,0.0015149,0.0015149
51,1654.47,2.23343,2.19157,1.82606,0.32637,0.09804,0.08868,0.03214,2.80863,3.3799,2.45058,0.001505,0.001505,0.001505
52,1687.92,2.17192,2.33273,1.86243,0.18634,0.19608,0.10279,0.0327,2.74843,3.0609,2.38993,0.0014951,0.0014951,0.0014951
53,1721.15,2.37919,2.21678,1.9454,0.18634,0.19608,0.10279,0.0327,2.74843,3.0609,2.38993,0.0014852,0.0014852,0.0014852
54,1755.9,2.21382,2.15596,1.80109,0.32127,0.2549,0.18489,0.05415,2.65892,3.04189,2.31619,0.0014753,0.0014753,0.0014753
55,1789.59,2.19917,2.25676,1.84562,0.21669,0.29412,0.15667,0.0495,2.71993,2.89852,2.33776,0.0014654,0.0014654,0.0014654
56,1822.56,2.24457,2.17466,1.85666,0.21669,0.29412,0.15667,0.0495,2.71993,2.89852,2.33776,0.0014555,0.0014555,0.0014555
57,1856.77,2.10906,2.1583,1.78269,0.20983,0.15686,0.12263,0.03605,2.76854,2.83254,2.32059,0.0014456,0.0014456,0.0014456
58,1895.58,2.23195,2.34063,1.88667,0.20983,0.15686,0.12263,0.03605,2.76854,2.83254,2.32059,0.0014357,0.0014357,0.0014357
59,1930.99,2.11852,2.24436,1.8238,0.1923,0.17647,0.11512,0.03032,2.73778,2.76111,2.22845,0.0014258,0.0014258,0.0014258
60,1963.92,2.31802,2.2781,1.91116,0.13582,0.21569,0.13011,0.03321,2.79822,2.66684,2.26679,0.0014159,0.0014159,0.0014159
61,1996.4,2.16936,2.13391,1.85148,0.13582,0.21569,0.13011,0.03321,2.79822,2.66684,2.26679,0.001406,0.001406,0.001406
62,2029.21,2.2075,2.14988,1.86234,0.17874,0.15686,0.125,0.03603,2.76717,2.67586,2.18726,0.0013961,0.0013961,0.0013961
63,2062.41,2.07519,2.21163,1.79083,0.20375,0.19608,0.12476,0.02937,2.78177,2.70148,2.23217,0.0013862,0.0013862,0.0013862
64,2094.86,2.16793,2.17095,1.80448,0.20375,0.19608,0.12476,0.02937,2.78177,2.70148,2.23217,0.0013763,0.0013763,0.0013763
65,2127.55,2.10784,2.30628,1.82764,0.12678,0.2549,0.11505,0.02842,2.78073,2.71709,2.27802,0.0013664,0.0013664,0.0013664
66,2160.37,2.23869,2.09532,1.80028,0.12678,0.2549,0.11505,0.02842,2.78073,2.71709,2.27802,0.0013565,0.0013565,0.0013565
67,2193.12,2.17584,2.14532,1.84715,0.1568,0.29412,0.1313,0.03431,2.74144,2.67684,2.26985,0.0013466,0.0013466,0.0013466
68,2225.92,2.01855,2.0857,1.72783,0.13646,0.29412,0.12415,0.02958,2.685,2.61367,2.19487,0.0013367,0.0013367,0.0013367
69,2258.61,2.08435,2.08265,1.7608,0.13646,0.29412,0.12415,0.02958,2.685,2.61367,2.19487,0.0013268,0.0013268,0.0013268
70,2292.11,2.02453,2.04087,1.74402,0.16483,0.29412,0.12598,0.02603,2.76635,2.64502,2.31444,0.0013169,0.0013169,0.0013169
71,2325.43,2.15989,2.12367,1.78175,0.26746,0.27451,0.1278,0.02998,2.82435,2.66913,2.37992,0.001307,0.001307,0.001307
72,2357.1,2.07484,2.10563,1.72522,0.26746,0.27451,0.1278,0.02998,2.82435,2.66913,2.37992,0.0012971,0.0012971,0.0012971
73,2389.57,2.01793,2.07302,1.64967,0.21374,0.2549,0.11699,0.03188,2.82119,2.67001,2.36738,0.0012872,0.0012872,0.0012872
74,2421.16,2.03316,2.07669,1.72393,0.21374,0.2549,0.11699,0.03188,2.82119,2.67001,2.36738,0.0012773,0.0012773,0.0012773
75,2453.41,1.9611,1.92824,1.63886,0.20646,0.29412,0.15258,0.03465,2.8293,2.6238,2.39091,0.0012674,0.0012674,0.0012674
76,2486.06,2.00371,2.09008,1.70225,0.13933,0.31373,0.12981,0.0289,2.80296,2.61189,2.39752,0.0012575,0.0012575,0.0012575
77,2518.27,1.94566,1.97561,1.66254,0.13933,0.31373,0.12981,0.0289,2.80296,2.61189,2.39752,0.0012476,0.0012476,0.0012476
78,2550.94,1.9273,1.89534,1.63756,0.18646,0.26521,0.11874,0.03579,2.73357,2.74193,2.33383,0.0012377,0.0012377,0.0012377
79,2584.36,1.97156,1.95359,1.66754,0.2129,0.23339,0.12165,0.03538,2.61587,2.71571,2.19737,0.0012278,0.0012278,0.0012278
80,2616.17,1.96016,1.99606,1.67083,0.2129,0.23339,0.12165,0.03538,2.61587,2.71571,2.19737,0.0012179,0.0012179,0.0012179
81,2649.3,1.90271,1.87268,1.62696,0.20293,0.25461,0.18119,0.04927,2.65514,2.56552,2.1501,0.001208,0.001208,0.001208
82,2681.9,1.96659,1.93313,1.65622,0.20293,0.25461,0.18119,0.04927,2.65514,2.56552,2.1501,0.0011981,0.0011981,0.0011981
83,2714.19,1.97691,2.00881,1.6809,0.36788,0.19608,0.19776,0.05554,2.79191,2.55642,2.22598,0.0011882,0.0011882,0.0011882
84,2747.47,1.99059,1.96646,1.72609,0.15776,0.31373,0.17075,0.04527,2.88148,2.59635,2.30046,0.0011783,0.0011783,0.0011783
85,2779.48,1.96698,2.03726,1.65725,0.15776,0.31373,0.17075,0.04527,2.88148,2.59635,2.30046,0.0011684,0.0011684,0.0011684
86,2812.66,1.94061,1.8884,1.59288,0.2547,0.21569,0.16642,0.04731,2.88344,2.59099,2.26538,0.0011585,0.0011585,0.0011585
87,2846.51,1.92227,1.84896,1.58998,0.23988,0.30328,0.1517,0.03663,2.85342,2.59361,2.26168,0.0011486,0.0011486,0.0011486
88,2880.16,2.00671,1.83386,1.6044,0.23988,0.30328,0.1517,0.03663,2.85342,2.59361,2.26168,0.0011387,0.0011387,0.0011387
89,2917.6,1.84203,1.85339,1.56978,0.24594,0.19608,0.1681,0.04287,2.72267,2.66844,2.22036,0.0011288,0.0011288,0.0011288
90,2949.7,1.92073,1.81621,1.59166,0.24594,0.19608,0.1681,0.04287,2.72267,2.66844,2.22036,0.0011189,0.0011189,0.0011189
91,2982.55,1.80872,1.77005,1.55905,0.18563,0.27451,0.13674,0.03803,2.70344,2.67193,2.20585,0.001109,0.001109,0.001109
92,3014.46,1.84404,1.82764,1.56288,0.23577,0.29412,0.15441,0.0414,2.79762,2.71164,2.31727,0.0010991,0.0010991,0.0010991
93,3043.17,1.85868,1.77851,1.57238,0.23577,0.29412,0.15441,0.0414,2.79762,2.71164,2.31727,0.0010892,0.0010892,0.0010892
94,3073.56,1.97568,1.83822,1.61576,0.17689,0.2549,0.12617,0.03678,2.97689,2.94678,2.51377,0.0010793,0.0010793,0.0010793
95,3104.63,1.8733,1.78023,1.55674,0.15531,0.19114,0.0907,0.02979,3.04428,2.78501,2.62156,0.0010694,0.0010694,0.0010694
96,3136.07,1.99537,1.82158,1.63926,0.15531,0.19114,0.0907,0.02979,3.04428,2.78501,2.62156,0.0010595,0.0010595,0.0010595
97,3165.93,2.00596,1.80317,1.71456,0.18499,0.23529,0.10963,0.02679,2.9865,2.59237,2.61107,0.0010496,0.0010496,0.0010496
98,3195.67,1.89636,1.72344,1.61138,0.18499,0.23529,0.10963,0.02679,2.9865,2.59237,2.61107,0.0010397,0.0010397,0.0010397
99,3225.74,1.84713,1.81611,1.6104,0.26574,0.13725,0.113,0.02879,2.9711,2.59197,2.64698,0.0010298,0.0010298,0.0010298
100,3258.07,1.97917,1.90221,1.69325,0.16114,0.23529,0.12597,0.02768,2.9399,2.55217,2.56529,0.0010199,0.0010199,0.0010199
101,3289.66,1.80367,1.75122,1.59043,0.16114,0.23529,0.12597,0.02768,2.9399,2.55217,2.56529,0.00101,0.00101,0.00101
102,3320.16,1.94941,1.87025,1.61819,0.24094,0.13725,0.13095,0.03286,3.04331,2.69491,2.54756,0.0010001,0.0010001,0.0010001
103,3352.6,1.83645,1.76432,1.5638,0.33942,0.15686,0.11716,0.02689,3.0185,2.72273,2.49315,0.0009902,0.0009902,0.0009902
104,3383.08,1.7914,1.72474,1.55536,0.33942,0.15686,0.11716,0.02689,3.0185,2.72273,2.49315,0.0009803,0.0009803,0.0009803
105,3415.94,1.89087,1.76456,1.5712,0.1874,0.2549,0.11988,0.03274,2.96903,2.60823,2.4354,0.0009704,0.0009704,0.0009704
106,3446.41,1.83518,1.69983,1.54149,0.1874,0.2549,0.11988,0.03274,2.96903,2.60823,2.4354,0.0009605,0.0009605,0.0009605
107,3475.42,1.875,1.73995,1.58237,0.22399,0.33333,0.15005,0.0363,2.94905,2.55153,2.42039,0.0009506,0.0009506,0.0009506
108,3502.93,1.83886,1.68035,1.56125,0.1852,0.29412,0.13409,0.03249,2.98106,2.58449,2.43269,0.0009407,0.0009407,0.0009407
109,3531.24,1.77596,1.69124,1.50321,0.1852,0.29412,0.13409,0.03249,2.98106,2.58449,2.43269,0.0009308,0.0009308,0.0009308
110,3561.44,1.77121,1.57641,1.51663,0.19493,0.2549,0.12277,0.03076,2.93056,2.58445,2.42047,0.0009209,0.0009209,0.0009209
111,3591.83,1.73287,1.59471,1.52496,0.19779,0.13725,0.10989,0.02998,2.89236,2.61598,2.38279,0.000911,0.000911,0.000911
112,3621.68,1.74174,1.67029,1.53747,0.19779,0.13725,0.10989,0.02998,2.89236,2.61598,2.38279,0.0009011,0.0009011,0.0009011
113,3652.95,1.7381,1.58584,1.49666,0.20837,0.21569,0.10933,0.02896,2.90015,2.60416,2.40312,0.0008912,0.0008912,0.0008912
114,3681.98,1.75967,1.63693,1.52042,0.20837,0.21569,0.10933,0.02896,2.90015,2.60416,2.40312,0.0008813,0.0008813,0.0008813
115,3711.43,1.66357,1.61272,1.50323,0.23125,0.29412,0.12905,0.03288,2.89291,2.60012,2.40099,0.0008714,0.0008714,0.0008714
116,3737.85,1.72374,1.62987,1.51686,0.22743,0.23529,0.10111,0.02535,2.91089,2.57454,2.42714,0.0008615,0.0008615,0.0008615
117,3766.91,1.7518,1.64201,1.54059,0.22743,0.23529,0.10111,0.02535,2.91089,2.57454,2.42714,0.0008516,0.0008516,0.0008516
118,3797.86,1.64508,1.53974,1.49037,0.23977,0.21569,0.12968,0.03206,2.89805,2.55981,2.41022,0.0008417,0.0008417,0.0008417
119,3829.63,1.71021,1.49637,1.43429,0.27573,0.19608,0.17598,0.0385,2.84752,2.52057,2.34959,0.0008318,0.0008318,0.0008318
120,3861.08,1.67913,1.50947,1.45834,0.27573,0.19608,0.17598,0.0385,2.84752,2.52057,2.34959,0.0008219,0.0008219,0.0008219
121,3893.12,1.69192,1.54309,1.46415,0.29249,0.21569,0.15663,0.04286,2.82952,2.54943,2.33791,0.000812,0.000812,0.000812
122,3922.39,1.76358,1.58326,1.50454,0.29249,0.21569,0.15663,0.04286,2.82952,2.54943,2.33791,0.0008021,0.0008021,0.0008021
123,3951.9,1.67707,1.49836,1.45053,0.28042,0.19608,0.15976,0.04802,2.85242,2.61522,2.38697,0.0007922,0.0007922,0.0007922
124,3982.25,1.70468,1.58034,1.46448,0.23346,0.23529,0.16381,0.04928,2.82844,2.64293,2.40361,0.0007823,0.0007823,0.0007823
125,4013.99,1.65607,1.51694,1.44175,0.23346,0.23529,0.16381,0.04928,2.82844,2.64293,2.40361,0.0007724,0.0007724,0.0007724
126,4045.56,1.60693,1.50743,1.44655,0.25231,0.23529,0.19729,0.05625,2.80003,2.646,2.41555,0.0007625,0.0007625,0.0007625
127,4077.69,1.72725,1.59467,1.4851,0.22266,0.2584,0.1867,0.04894,2.82345,2.58928,2.45284,0.0007526,0.0007526,0.0007526
128,4107.35,1.70673,1.5827,1.46366,0.22266,0.2584,0.1867,0.04894,2.82345,2.58928,2.45284,0.0007427,0.0007427,0.0007427
129,4136.86,1.70021,1.56581,1.50712,0.23857,0.2549,0.1534,0.04586,2.79396,2.46529,2.42904,0.0007328,0.0007328,0.0007328
130,4165.81,1.72411,1.60566,1.50505,0.23857,0.2549,0.1534,0.04586,2.79396,2.46529,2.42904,0.0007229,0.0007229,0.0007229
131,4194.03,1.65253,1.5261,1.46961,0.27,0.2549,0.15472,0.04898,2.82644,2.42536,2.42319,0.000713,0.000713,0.000713
132,4222.02,1.67008,1.48457,1.45329,0.26218,0.32754,0.1749,0.04788,2.84561,2.52226,2.40583,0.0007031,0.0007031,0.0007031
133,4251.88,1.68977,1.51894,1.47718,0.26218,0.32754,0.1749,0.04788,2.84561,2.52226,2.40583,0.0006932,0.0006932,0.0006932
134,4281.93,1.63447,1.51811,1.43094,0.2401,0.29412,0.15468,0.04555,2.86192,2.55736,2.45108,0.0006833,0.0006833,0.0006833
135,4310.48,1.57371,1.39162,1.42897,0.34068,0.25333,0.16412,0.04612,2.90031,2.55425,2.45591,0.0006734,0.0006734,0.0006734
136,4338.57,1.61006,1.49098,1.4454,0.34068,0.25333,0.16412,0.04612,2.90031,2.55425,2.45591,0.0006635,0.0006635,0.0006635
137,4366.94,1.64612,1.4072,1.42983,0.28801,0.2549,0.14432,0.03834,2.86276,2.56036,2.41088,0.0006536,0.0006536,0.0006536
138,4396.18,1.60926,1.42773,1.39538,0.28801,0.2549,0.14432,0.03834,2.86276,2.56036,2.41088,0.0006437,0.0006437,0.0006437
139,4427.1,1.56558,1.46398,1.36932,0.32982,0.29412,0.16789,0.03947,2.85437,2.59029,2.40506,0.0006338,0.0006338,0.0006338
140,4456.42,1.67176,1.51037,1.45499,0.41741,0.21569,0.19561,0.04643,2.95916,2.6145,2.48358,0.0006239,0.0006239,0.0006239
141,4486.68,1.68339,1.47507,1.45368,0.41741,0.21569,0.19561,0.04643,2.95916,2.6145,2.48358,0.000614,0.000614,0.000614
142,4517.59,1.65775,1.50646,1.45903,0.42466,0.21569,0.18259,0.04133,3.02696,2.48238,2.60361,0.0006041,0.0006041,0.0006041
143,4549.06,1.60492,1.4299,1.42616,0.27949,0.2549,0.17879,0.034,2.96271,2.58168,2.59136,0.0005942,0.0005942,0.0005942
144,4579.07,1.5056,1.37718,1.33815,0.27949,0.2549,0.17879,0.034,2.96271,2.58168,2.59136,0.0005843,0.0005843,0.0005843
145,4610.22,1.56976,1.48216,1.42621,0.26827,0.21569,0.16605,0.04237,2.918,2.625,2.58545,0.0005744,0.0005744,0.0005744
146,4640.65,1.50992,1.34128,1.34748,0.26827,0.21569,0.16605,0.04237,2.918,2.625,2.58545,0.0005645,0.0005645,0.0005645
147,4670.35,1.6241,1.38806,1.42596,0.25527,0.27451,0.1669,0.04162,2.82846,2.64233,2.45114,0.0005546,0.0005546,0.0005546
148,4698.07,1.56213,1.34832,1.3643,0.16177,0.37464,0.16371,0.03994,2.78768,2.65363,2.3808,0.0005447,0.0005447,0.0005447
149,4725.14,1.54022,1.34627,1.35005,0.16177,0.37464,0.16371,0.03994,2.78768,2.65363,2.3808,0.0005348,0.0005348,0.0005348
150,4752.8,1.56938,1.42792,1.43911,0.42427,0.15686,0.15509,0.03807,2.77788,2.72859,2.34723,0.0005249,0.0005249,0.0005249
151,4782.05,1.59081,1.37582,1.37877,0.21568,0.21569,0.14916,0.03769,2.79858,2.67048,2.36353,0.000515,0.000515,0.000515
152,4809.14,1.63615,1.51236,1.42204,0.21568,0.21569,0.14916,0.03769,2.79858,2.67048,2.36353,0.0005051,0.0005051,0.0005051
153,4837.3,1.59534,1.38636,1.38892,0.30985,0.27451,0.16222,0.03788,2.90221,2.6472,2.43296,0.0004952,0.0004952,0.0004952
154,4868.23,1.5196,1.39702,1.38345,0.30985,0.27451,0.16222,0.03788,2.90221,2.6472,2.43296,0.0004853,0.0004853,0.0004853
155,4898.28,1.60602,1.39827,1.42005,0.25875,0.2465,0.15445,0.04185,2.89998,2.62357,2.45559,0.0004754,0.0004754,0.0004754
